;Número correlativo;Año;Nombre de Servicio;Ministerio;Codigo_de_Actividad_Ejecutada;Codigo_de_Actividad_Planificada;Nombred_del_la_Actividad;Especialidad_de_la_Actividad;Categoría_de_la_Actividad;Numero_de_Participantes;Numero_de_Horas;Tipo_de_Actividad;Estado_de_Actividad;Modalidad_de_Compra;Actividad_Planificada;Jornada;Proveedor;Region_de_Ejecucion_de_la_Actividad;Programa;Objetivo_Global;Objetivo_de_Gestion;Gasto_monto_Item001;Gasto_monto_Item002;Gasto_monto_Item003;Evaluaciones_Realizadas;Evaluación_de_Reacción;Metodología_de_Aprendizaje;Fecha_de_inicio;Fecha_de_Término;Fecha_de_Ingreso_Sistema
24531;684.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569662.0;;Proyecto de vida;Otras Materias Especificas;Educación y Capacitación;2.0;30.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-13;2020-06-12;2020-06-23
24532;685.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569681.0;;Manejo de conflictos familiares;Otras Materias Especificas;Educación y Capacitación;1.0;30.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-01;2020-04-30;2020-06-23
24533;686.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569682.0;;Prevención de adicciones;Herramientas para el Fomento de Alimentación Saludable y Vida Sana;Salud, Nutrición y Dietética;1.0;30.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-05-01;2020-05-29;2020-06-23
24534;687.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569683.0;;MS Powerpoint;Uso y Soporte de Programas de Escritorio;Computación e Informática;2.0;30.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-05-15;2020-06-15;2020-06-23
24535;688.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569701.0;;Prevención de riesgos;Administración General;Administración y Logística;1.0;25.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-06-01;2020-06-22;2020-06-23
24536;689.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569702.0;;Ortografía y lenguaje;Comunicación Efectiva en la Organización;Idioma y Comunicación;2.0;20.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-04-20;2020-05-19;2020-06-23
24537;690.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569721.0;;Ecología;Ecología;Ecología;2.0;6.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-01;2020-04-30;2020-06-23
24538;691.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569741.0;;Murales de la ciencia;Fomento Artístico y Cultural ;Artes y Cultura General ;1.0;6.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-01;2020-04-30;2020-06-23
24539;692.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569761.0;;Exposición oral y presentaciones;Oratoria y Presentaciones Efectivas;Idioma y Comunicación;2.0;20.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-03-02;2020-03-31;2020-06-23
24540;693.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569762.0;;Exposición oral;Oratoria y Presentaciones Efectivas;Idioma y Comunicación;4.0;20.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-04-20;2020-05-15;2020-06-23
24541;694.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569781.0;;Excel básico;Uso y Soporte de Programas de Escritorio;Computación e Informática;2.0;30.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-05-18;2020-06-19;2020-06-23
24542;695.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569801.0;;Relaciones familiares;Gestión de Clima y Resolución de Conflictos;Herramientas de Apoyo Conductuales-Relacional;1.0;20.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Reacción;Excelente;E-Learning;2020-05-18;2020-06-19;2020-06-23
24543;696.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569802.0;;Detención arbitraria;Leyes y Normas Temáticas Especificas;Legislación;1.0;6.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-24;2020-04-24;2020-06-23
24544;697.0;2020;Ministerio de Educación;Subsecretaría de Educación;569821.0;474314.0;Introducción Métodos estadísticos. Software R;Otras Materias Especificas;Educación y Capacitación;22.0;20.0;Curso;Terminada;Convenio Marco;Si;Dentro de la Jornada Laboral;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;Nivel Central;;;;7854000.0;0.0;0.0;Aprendizaje y reacción;Muy Buena;E-Learning/Video Conferencia;2020-05-06;2020-06-03;2020-06-23
24545;698.0;2020;Ministerio de Educación;Subsecretaría de Educación;569841.0;;CURSO SISTEMA DE ADMISIÓN ESCOLAR 2020;Gestión y Desarrollo de Procesos Relativos a Educación Escolar-Universitaria;Educación y Capacitación;20.0;2.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;SERVICIO PUBLICO ;Región de Arica y Parinacota;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-04-06;2020-05-22;2020-06-23
24546;699.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569861.0;;Conductas adictivas;Gestión de Personas;Administración y Logística;1.0;30.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;;;;;0.0;0.0;0.0;Reacción;Excelente;E-Learning;2020-04-13;2020-05-15;2020-06-23
24547;700.0;2020;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;569862.0;474188.0;ÉTICA PUBLICA, PROBIDAD Y TRANSPARENCIA;Otras Materias Especificas;Educación y Capacitación;8.0;8.0;Curso;Terminada;Sin costo;Si;Dentro de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Región de Arica y Parinacota;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-05-13;2020-06-22;2020-06-23
24548;701.0;2020;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;569863.0;;PREVENCION DEL CORONAVIRUS COVID-19;Otras Materias Especificas;Educación y Capacitación;5.0;2.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;Mutual de Seguridad;Región de Arica y Parinacota;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-05-26;2020-06-26;2020-06-23
24549;702.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569881.0;;Movimientos artísticos;Fomento Artístico y Cultural ;Artes y Cultura General ;1.0;30.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-03-16;2020-04-17;2020-06-23
24550;703.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569901.0;;Proceso de toma de decisiones;Administración General;Administración y Logística;2.0;6.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-06-01;2020-06-19;2020-06-23
24551;704.0;2020;Ministerio de Vivienda y Urbanismo;Servicio de Vivienda y Urbanización Región de Arica y Parinacota;569902.0;474204.0;MEJORAMIENTO DE PROCESOS DE CALIFICACIONES;Otras Materias Especificas;Educación y Capacitación;6.0;2.0;Curso;Terminada;Sin costo;Si;Dentro de la Jornada Laboral;SERVIU REGION DE ARICA Y PARINACOTA;Región de Arica y Parinacota;;;;0.0;0.0;0.0;Sin evaluación;;Otra;2020-06-19;2020-06-19;2020-06-23
24552;705.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569921.0;;Correo electrónico;Uso y Soporte de Programas de Escritorio;Computación e Informática;1.0;6.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-01;2020-06-12;2020-06-23
24553;706.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569942.0;;Mesoamérica;Fomento Artístico y Cultural ;Artes y Cultura General ;1.0;6.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-06;2020-04-10;2020-06-23
24554;707.0;2020;Ministerio Secretaría General de Gobierno;Subsecretaría General de Gobierno;569981.0;;Inducción CEA;Administración General;Administración y Logística;3.0;4.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Más de una Región;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-05-01;2020-05-29;2020-06-23
